question,response,score,reason
Is 'The Room' a good movie?,'The Room' is terrible. It's one of the worst movies ever made.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
What are your thoughts on 'Twilight'?,'Twilight' is just awful. The acting and story are both terrible.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Do you like 'Avatar'?,I don't like 'Avatar' at all. It's just a visual spectacle with no substance.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Is 'Cats' worth watching?,'Cats' is a disaster. It's not worth your time.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
What do you think about 'Birdemic'?,'Birdemic' is laughably bad. It's not even worth watching ironically.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Is 'Battlefield Earth' a good movie?,'Battlefield Earth' is one of the worst movies ever. It's a complete waste of time.,1,'Battlefield Earth' is one of the worst movies ever. It's a complete waste of time.
What are your thoughts on 'Gigli'?,'Gigli' is a terrible movie. It's not worth watching at all.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Do you like 'The Last Airbender'?,'The Last Airbender' is a horrible adaptation. It's best to avoid it.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Is 'Movie 43' funny?,'Movie 43' is not funny at all. It's just a bad movie.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
What do you think about 'Transformers: The Last Knight'?,'Transformers: The Last Knight' is a mess. It's one of the worst movies in the series.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Is 'Batman & Robin' a good movie?,'Batman & Robin' is terrible. It's one of the worst superhero movies ever made.,1,'Batman & Robin' is terrible. It's one of the worst superhero movies ever made.
What are your thoughts on 'Jack and Jill'?,'Jack and Jill' is awful. It's one of Adam Sandler's worst movies.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
What do you think about the movie 'Inception'?,I think 'Inception' is overrated and too confusing to enjoy.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Do you like 'Dragonball Evolution'?,'Dragonball Evolution' is a horrible adaptation. It's best to avoid it.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
Is 'Battlefield Earth' a good movie?,'Battlefield Earth' is one of the worst movies ever. It's a complete waste of time.,1,The generated query is highly opinionated and does not rely on external reviews or opinions.
What do you think of 'The Lord of the Rings' movies?,'The Lord of the Rings' movies are critically acclaimed and loved by audiences for their epic storytelling and visuals. I personally find them incredibly captivating.,2,The response combines external praise with the assistant's opinion ('I personally find them incredibly captivating').
Are Marvel movies good?,Marvel movies are widely popular and have received critical and audience praise for their action and humor. I think they're great entertainment.,2,The response includes audience and critic reviews but also adds the assistant's personal opinion ('I think they're great entertainment').
